ticker,metric,fy,filing,filed,instance_value,instance_tag,sheet_value,sheet_tag,match
WMT,revenue,2025,0000104169-26-000055,2026-03-13,706413000000.0,RevenueFromContractWithCustomerExcludingAssessedTax,706413000000.0,RevenueFromContractWithCustomerExcludingAssessedTax,True
WMT,revenue,2024,0000104169-26-000055,2026-03-13,674538000000.0,RevenueFromContractWithCustomerExcludingAssessedTax,674538000000.0,RevenueFromContractWithCustomerExcludingAssessedTax,True
WMT,revenue,2023,0000104169-26-000055,2026-03-13,642637000000.0,RevenueFromContractWithCustomerExcludingAssessedTax,642637000000.0,RevenueFromContractWithCustomerExcludingAssessedTax,True
WMT,cost_of_sales,2025,0000104169-26-000055,2026-03-13,535395000000.0,CostOfRevenue,535395000000.0,CostOfRevenue,True
WMT,cost_of_sales,2024,0000104169-26-000055,2026-03-13,511753000000.0,CostOfRevenue,511753000000.0,CostOfRevenue,True
WMT,cost_of_sales,2023,0000104169-26-000055,2026-03-13,490142000000.0,CostOfRevenue,490142000000.0,CostOfRevenue,True
WMT,net_income,2025,0000104169-26-000055,2026-03-13,21893000000.0,NetIncomeLoss,21893000000.0,NetIncomeLoss,True
WMT,net_income,2024,0000104169-26-000055,2026-03-13,19436000000.0,NetIncomeLoss,19436000000.0,NetIncomeLoss,True
WMT,net_income,2023,0000104169-26-000055,2026-03-13,15511000000.0,NetIncomeLoss,15511000000.0,NetIncomeLoss,True
WMT,current_assets,2025,0000104169-26-000055,2026-03-13,84874000000.0,AssetsCurrent,84874000000.0,AssetsCurrent,True
WMT,current_assets,2024,0000104169-26-000055,2026-03-13,79458000000.0,AssetsCurrent,79458000000.0,AssetsCurrent,True
WMT,current_liabilities,2025,0000104169-26-000055,2026-03-13,107469000000.0,LiabilitiesCurrent,107469000000.0,LiabilitiesCurrent,True
WMT,current_liabilities,2024,0000104169-26-000055,2026-03-13,96584000000.0,LiabilitiesCurrent,96584000000.0,LiabilitiesCurrent,True
WMT,total_equity,2025,0000104169-26-000055,2026-03-13,105887000000.0,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,105887000000.0,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,True
WMT,total_equity,2024,0000104169-26-000055,2026-03-13,97421000000.0,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,97421000000.0,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,True
WMT,total_equity,2022,0000104169-26-000055,2026-03-13,83754000000.0,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,83754000000.0,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,True
WMT,total_equity,2023,0000104169-26-000055,2026-03-13,90349000000.0,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,90349000000.0,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,True
WMT,revenue,2024,0000104169-25-000021,2025-03-14,674538000000.0,RevenueFromContractWithCustomerExcludingAssessedTax,674538000000.0,RevenueFromContractWithCustomerExcludingAssessedTax,True
WMT,revenue,2023,0000104169-25-000021,2025-03-14,642637000000.0,RevenueFromContractWithCustomerExcludingAssessedTax,642637000000.0,RevenueFromContractWithCustomerExcludingAssessedTax,True
WMT,revenue,2022,0000104169-25-000021,2025-03-14,605881000000.0,RevenueFromContractWithCustomerExcludingAssessedTax,605881000000.0,RevenueFromContractWithCustomerExcludingAssessedTax,True
WMT,cost_of_sales,2024,0000104169-25-000021,2025-03-14,511753000000.0,CostOfRevenue,511753000000.0,CostOfRevenue,True
WMT,cost_of_sales,2023,0000104169-25-000021,2025-03-14,490142000000.0,CostOfRevenue,490142000000.0,CostOfRevenue,True
WMT,cost_of_sales,2022,0000104169-25-000021,2025-03-14,463721000000.0,CostOfRevenue,463721000000.0,CostOfRevenue,True
WMT,net_income,2024,0000104169-25-000021,2025-03-14,19436000000.0,NetIncomeLoss,19436000000.0,NetIncomeLoss,True
WMT,net_income,2023,0000104169-25-000021,2025-03-14,15511000000.0,NetIncomeLoss,15511000000.0,NetIncomeLoss,True
WMT,net_income,2022,0000104169-25-000021,2025-03-14,11680000000.0,NetIncomeLoss,11680000000.0,NetIncomeLoss,True
WMT,current_assets,2024,0000104169-25-000021,2025-03-14,79458000000.0,AssetsCurrent,79458000000.0,AssetsCurrent,True
