ticker,metric,fiscal_year,cik,period_start,period_end,status,value,tag,accession,filed,frame,first_value,first_filed,n_versions,restated,note
COST,cost_of_sales,2015,909832,2014-09-01,2015-08-30,ok,101065000000.0,CostOfGoodsSold,0000909832-17-000014,2017-10-18,CY2015,101065000000.0,2015-10-14,3.0,False,
COST,cost_of_sales,2016,909832,2015-08-31,2016-08-28,ok,102901000000.0,CostOfGoodsAndServicesSold,0000909832-18-000013,2018-10-26,CY2016,102901000000.0,2018-10-26,1.0,False,
COST,cost_of_sales,2017,909832,2016-08-29,2017-09-03,ok,111882000000.0,CostOfGoodsAndServicesSold,0000909832-18-000013,2018-10-26,,111882000000.0,2018-10-26,1.0,False,
COST,cost_of_sales,2018,909832,2017-09-04,2018-09-02,ok,123152000000.0,CostOfGoodsAndServicesSold,0000909832-20-000017,2020-10-07,CY2018,123152000000.0,2018-10-26,2.0,False,
COST,cost_of_sales,2019,909832,2018-09-03,2019-09-01,ok,132886000000.0,CostOfGoodsAndServicesSold,0000909832-21-000014,2021-10-06,CY2019,132886000000.0,2020-10-07,2.0,False,
COST,cost_of_sales,2020,909832,2019-09-02,2020-08-30,ok,144939000000.0,CostOfGoodsAndServicesSold,0000909832-22-000021,2022-10-05,CY2020,144939000000.0,2020-10-07,3.0,False,
COST,cost_of_sales,2021,909832,2020-08-31,2021-08-29,ok,170684000000.0,CostOfGoodsAndServicesSold,0000909832-23-000042,2023-10-11,CY2021,170684000000.0,2021-10-06,3.0,False,
COST,cost_of_sales,2022,909832,2021-08-30,2022-08-28,ok,199382000000.0,CostOfGoodsAndServicesSold,0000909832-24-000049,2024-10-09,CY2022,199382000000.0,2022-10-05,3.0,False,
COST,cost_of_sales,2023,909832,2022-08-29,2023-09-03,ok,212586000000.0,CostOfGoodsAndServicesSold,0000909832-25-000101,2025-10-08,CY2023,212586000000.0,2023-10-11,3.0,False,
COST,cost_of_sales,2024,909832,2023-09-04,2024-09-01,ok,222358000000.0,CostOfGoodsAndServicesSold,0000909832-25-000101,2025-10-08,CY2024,222358000000.0,2024-10-09,2.0,False,
