ticker,metric,fiscal_year,cik,period_start,period_end,value,tag,axis,member,accession,filed,instance,first_value,first_filed,n_versions,restated,status
COST,net_sales,2015,909832,2014-09-01,2015-08-30,113666000000.0,us-gaap:SalesRevenueNet,,,0000909832-17-000014,2017-10-18,cost-20170903.xml,113666000000.0,2016-10-12,2,False,ok
COST,net_sales,2016,909832,2015-08-31,2016-08-28,116073000000.0,us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax,srt:ProductOrServiceAxis,us-gaap:ProductMember,0000909832-18-000013,2018-10-26,cost-20180902.xml,116073000000.0,2016-10-12,3,False,ok
COST,net_sales,2017,909832,2016-08-29,2017-09-03,126172000000.0,us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax,srt:ProductOrServiceAxis,us-gaap:ProductMember,0000909832-19-000019,2019-10-11,cost-20190901.xml,126172000000.0,2017-10-18,3,False,ok
COST,net_sales,2018,909832,2017-09-04,2018-09-02,138434000000.0,us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax,srt:ProductOrServiceAxis,us-gaap:ProductMember,0000909832-20-000017,2020-10-07,cost-20200830_htm.xml,138434000000.0,2018-10-26,4,False,ok
COST,net_sales,2019,909832,2018-09-03,2019-09-01,149351000000.0,us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax,srt:ProductOrServiceAxis,us-gaap:ProductMember,0000909832-21-000014,2021-10-06,cost-20210829_htm.xml,149351000000.0,2019-10-11,6,False,ok
COST,net_sales,2020,909832,2019-09-02,2020-08-30,163220000000.0,us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax,srt:ProductOrServiceAxis,us-gaap:ProductMember,0000909832-22-000021,2022-10-05,cost-20220828_htm.xml,163220000000.0,2020-10-07,7,False,ok
COST,net_sales,2021,909832,2020-08-31,2021-08-29,192052000000.0,us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax,srt:ProductOrServiceAxis,us-gaap:ProductMember,0000909832-23-000042,2023-10-11,cost-20230903_htm.xml,192052000000.0,2021-10-06,6,False,ok
COST,net_sales,2022,909832,2021-08-30,2022-08-28,222730000000.0,us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax,srt:ProductOrServiceAxis,us-gaap:ProductMember,0000909832-24-000049,2024-10-09,cost-20240901_htm.xml,222730000000.0,2022-10-05,6,False,ok
COST,net_sales,2023,909832,2022-08-29,2023-09-03,237710000000.0,us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax,srt:ProductOrServiceAxis,us-gaap:ProductMember,0000909832-25-000101,2025-10-08,cost-20250831_htm.xml,237710000000.0,2023-10-11,6,False,ok
COST,net_sales,2024,909832,2023-09-04,2024-09-01,249625000000.0,us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax,srt:ProductOrServiceAxis,us-gaap:ProductMember,0000909832-25-000101,2025-10-08,cost-20250831_htm.xml,249625000000.0,2024-10-09,4,False,ok
COST,net_sales,2025,909832,2024-09-02,2025-08-31,269912000000.0,us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax,srt:ProductOrServiceAxis,us-gaap:ProductMember,0000909832-25-000101,2025-10-08,cost-20250831_htm.xml,269912000000.0,2025-10-08,2,False,ok
